,IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain,Sexe,EtatCivil,Specialite,IDChaineMontage,TauxHoraire,Allure,Status,Age,Expertise
293,193,1073,19.2,13.43,16,13,2,1,Finition,13,4.845,45.0,1,43.0,11
294,193,1075,32.3,48.94,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
297,193,1092,28.05,37.785,5,13,2,1,Finition,13,4.845,45.0,1,43.0,11
303,193,1140,13.2625,24.97875,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
304,193,1142,6.5,11.21,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
307,193,1152,20.48,19.972,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
314,193,1181,48.15,10.45,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
315,193,1186,9.475,34.56,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
316,193,1196,15.0,71.43,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
318,193,1215,25.5,29.65,4,13,2,1,Finition,13,4.845,45.0,1,43.0,11
319,193,1221,61.6375,22.9075,4,13,2,1,Finition,13,4.845,45.0,1,43.0,11
320,193,1224,26.75,21.57,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
321,193,1250,9.452,47.758,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
322,193,1251,46.784375,32.823750000000004,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
323,193,1257,8.8,32.805,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
327,193,1278,3.6,32.73,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
328,193,1284,20.0,36.36,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
329,193,1322,1.125,12.685,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
332,193,1362,3.0,31.25,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
335,193,1379,5.525,40.625,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
336,193,1388,34.0,18.72,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
337,193,1403,73.33333333333333,25.39,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
338,193,1410,2.8,13.33,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
341,193,1419,14.0,66.67,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
342,193,1420,56.0,10.37,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
345,193,1437,4.8,60.0,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
347,193,1453,12.066666666666668,17.863333333333333,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
348,193,1458,59.2,10.96,8,13,2,1,Finition,13,4.845,45.0,1,43.0,11
352,193,1481,13.25,10.69,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
